DRR090493	DRR090494	DRR090495	DRR090496	DRR090497	DRR090498	DRR090499	DRR090500	DRR090501	DRR090502	DRR090503	DRR090504	DRR090505	DRR090506	DRR090507	DRR090508	DRR090509	DRR090510	DRR090511	DRR090512
ASV.1	10310	8167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12578	11985	10772	15822
ASV.2	0	0	0	1905	0	0	0	0	0	14343	0	0	13233	0	33490	0	0	0	0	0
ASV.3	0	0	0	0	0	0	0	0	39849	0	0	0	0	0	0	0	0	0	0	0
ASV.4	0	0	0	0	0	0	0	37930	0	0	0	0	0	0	0	0	0	0	0	0
ASV.5	0	0	0	0	0	0	0	0	0	0	7132	9723	0	0	13618	0	0	0	0	0
ASV.6	0	0	0	0	0	21534	0	0	0	0	0	0	0	0	1672	0	0	447	418	508
ASV.7	0	0	0	0	0	23757	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.8	0	0	0	0	0	0	20940	73	0	0	0	0	0	0	0	0	0	0	0	0
ASV.9	2125	0	0	0	0	0	16552	0	0	0	0	0	0	0	0	0	309	0	0	0
ASV.10	2150	0	0	4997	0	0	0	0	0	5050	0	0	0	0	0	0	0	1555	2078	1738
ASV.11	338	0	520	867	506	641	7692	0	3998	1748	347	0	0	0	0	0	0	0	0	0
ASV.12	0	0	0	0	0	0	0	0	0	0	0	0	15085	0	0	0	0	0	0	0
ASV.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14929	0	0	0	0	0
ASV.14	0	0	0	0	0	0	0	14437	0	0	0	0	0	0	0	0	0	0	0	0
ASV.15	0	0	0	0	0	0	0	0	0	0	0	12010	0	0	0	0	0	0	0	0
ASV.16	0	0	1064	0	0	0	0	0	0	0	459	0	0	3897	0	0	969	1652	768	2182
ASV.17	2301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1552	995	3202	1792
ASV.18	0	0	7863	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.19	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1689	1182	2115	2512
ASV.20	0	0	0	0	0	0	0	0	0	0	0	7779	0	0	0	0	0	0	0	0
ASV.21	0	0	0	0	0	0	6470	0	0	0	0	0	0	986	0	0	0	261	0	0
ASV.22	0	0	0	0	0	0	0	0	0	541	0	0	0	0	6604	0	0	0	0	315
ASV.23	0	0	0	0	0	0	0	0	0	0	0	0	7195	0	0	0	0	0	0	0
ASV.24	1287	0	0	0	0	0	0	0	0	0	0	0	5292	0	0	0	0	0	186	0
ASV.25	177	1646	920	744	959	0	0	0	0	0	382	0	315	0	0	0	231	221	206	323
ASV.26	0	0	0	0	0	0	0	0	0	0	0	0	6084	0	0	0	0	0	0	0
ASV.27	0	0	0	0	0	0	4671	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.28	0	0	0	0	0	0	0	0	0	0	4461	0	0	0	0	0	0	0	0	0
ASV.29	0	0	0	0	0	0	0	0	0	0	0	4162	0	0	0	0	0	0	0	0
ASV.30	0	4075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.31	0	0	0	0	0	0	0	0	0	4011	0	0	0	0	0	0	0	0	0	0
ASV.32	1845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	516	964	548
ASV.34	152	175	119	432	556	0	302	0	726	986	174	0	0	0	0	0	0	0	0	0
ASV.35	0	0	0	0	0	0	0	0	0	0	3266	0	0	0	0	0	0	0	0	0
ASV.37	537	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	875	496	334	566
ASV.38	1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	825	488	610	0
ASV.39	0	0	0	0	0	0	0	3191	0	0	0	0	0	0	0	0	0	0	0	0
ASV.40	0	0	0	0	0	0	0	0	0	0	520	0	0	0	2526	0	0	0	0	0
ASV.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2867
ASV.43	0	0	0	0	0	0	0	0	0	2658	0	0	0	0	0	0	0	0	0	0
ASV.44	0	2608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2602	0	0	0	0	0
ASV.46	0	0	0	0	0	0	0	0	2548	0	0	0	0	0	0	0	0	0	0	0
ASV.47	0	0	0	0	0	2513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.48	0	0	0	956	1516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	286	627	817
ASV.50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	770	684	0	740
ASV.51	0	0	0	0	0	0	0	0	0	0	0	0	0	2190	0	0	0	0	0	0
ASV.52	0	0	0	0	0	0	0	0	2089	0	0	0	0	0	0	0	0	0	0	0
ASV.53	0	0	1775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0
ASV.54	0	0	0	0	2004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.55	0	412	694	0	0	0	0	0	0	0	0	0	0	0	0	0	14	545	0	297
ASV.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1881	0	0
ASV.57	0	0	0	0	0	0	0	0	0	0	0	685	1179	0	0	0	0	0	0	0
ASV.58	0	0	0	0	0	0	0	0	0	0	0	0	0	1827	0	0	0	0	0	0
ASV.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1113	0	323	389
ASV.61	0	0	0	1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.62	0	0	0	1171	0	0	0	0	0	0	0	0	0	0	0	0	596	0	0	0
ASV.63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1706	0	0	0	0	0
ASV.64	945	0	0	0	0	0	0	0	0	0	753	0	0	0	0	0	0	0	0	0
ASV.65	0	0	0	0	0	0	0	0	0	0	0	1538	0	0	0	0	0	0	0	0
ASV.66	520	973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ASV.67	0	0	0	0	0	0	0	0	0	0	0	0	0	1525	0	0	0	0	0	0
ASV.68	0	0	0	0	1510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1341	0	0	0	0	158
ASV.70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1482	0	0
ASV.71	0	0	0	0	0	0	0	0	0	0	0	0	0	1471	0	0	0	0	0	0
ASV.72	1456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.73	0	0	0	1288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.74	0	0	0	1258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	843	0	352
ASV.76	0	0	647	0	477	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
ASV.77	497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	190	447	0	0
ASV.79	1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.81	0	0	0	0	0	0	0	0	0	0	0	997	0	0	0	0	0	0	0	0
ASV.83	0	0	0	0	0	0	0	0	0	0	0	966	0	0	0	0	0	0	0	0
ASV.84	0	0	0	0	0	0	0	0	0	0	0	0	946	0	0	0	0	0	0	0
ASV.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	749	0	0	0	188	0
ASV.86	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.87	0	0	0	0	0	0	0	0	0	0	0	878	0	0	0	0	0	0	0	0
ASV.88	0	0	0	847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.89	0	0	0	0	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	0
ASV.90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	830	0
ASV.91	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.92	0	0	0	0	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	0
ASV.95	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	782	0
ASV.97	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	728	0
ASV.100	0	0	0	0	0	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.101	0	719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.104	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0
ASV.105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	0	0	0
ASV.106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	671	0
ASV.107	0	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.108	447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	87
ASV.109	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0
ASV.110	0	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	579	0	0	0
ASV.112	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	111	0	0
ASV.114	297	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0
ASV.115	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0
ASV.117	0	0	0	0	0	0	0	0	0	0	0	0	538	0	0	0	0	0	0	0
ASV.118	0	148	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0
ASV.120	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	0	0	0
ASV.121	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	282	0
ASV.122	518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	189	325
ASV.124	510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371	125
ASV.129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
ASV.130	0	0	454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0
ASV.133	0	0	0	0	0	0	0	0	0	0	0	0	0	442	0	0	0	0	0	0
ASV.134	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.136	0	0	0	127	99	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0
ASV.137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	415	0	0	0
ASV.140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0
ASV.141	0	0	0	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0
ASV.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382
ASV.145	0	0	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.146	361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0
ASV.148	0	0	0	0	0	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0
ASV.151	0	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0
ASV.152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0
ASV.153	0	0	0	323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	0
ASV.156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	0	0
ASV.161	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	298	0
ASV.164	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0
ASV.167	0	0	0	0	288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.168	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0
ASV.169	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270
ASV.173	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.176	0	0	0	0	0	0	0	0	0	0	261	0	0	0	0	0	0	0	0	0
ASV.180	0	0	0	252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0
ASV.185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
ASV.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236
ASV.190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	81	0
ASV.191	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0
ASV.192	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0
ASV.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0
ASV.195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218
ASV.196	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0
ASV.200	0	0	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.203	0	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0
ASV.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	0
ASV.208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196
ASV.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	0
ASV.215	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0
ASV.217	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0	0
ASV.218	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0
ASV.220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0
ASV.228	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0
ASV.234	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.236	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0
ASV.238	0	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0
ASV.244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156
ASV.246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0
ASV.250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0
ASV.252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0
ASV.253	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0
ASV.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0
ASV.255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0
ASV.256	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0
ASV.259	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133	0	0
ASV.262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130
ASV.263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0
ASV.269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0
ASV.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0
ASV.281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
ASV.284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0
ASV.292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0
ASV.293	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0
ASV.297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0
ASV.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0
ASV.303	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
ASV.305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97
ASV.306	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0
ASV.307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0
ASV.311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0
ASV.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
ASV.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0
ASV.324	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0
ASV.327	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0
ASV.328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
ASV.330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0
ASV.331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
ASV.332	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0
ASV.340	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0
ASV.344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0
ASV.347	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.352	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0
ASV.353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0
ASV.354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
ASV.356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0
ASV.358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
ASV.360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0
ASV.363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
ASV.370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ASV.373	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.374	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0
ASV.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ASV.380	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
ASV.383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0
ASV.384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0
ASV.388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV.391	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV.392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
ASV.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0
ASV.395	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV.396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0
ASV.397	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV.408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
ASV.409	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
